team,Restricted Area,Mid High Post,Left Wing,Top of the Key,Right Wing,Left Conor,Right Conor,Right Low Post,Left Low Post,Mid MidRange,MidRange Left Wing,MidRange Right Wing,MidRange Left Conor,MidRange Right Conor
Average,66.82,45.19,35.63,35.11,35.28,38.53,38.84,43.14,41.76,42.12,40.76,41.51,43.03,39.1
ATL,66.35,46.41,37.52,37.25,36.77,39.21,39.95,45.07,44.44,44.22,36.99,38.46,57.5,50
BOS,65.06,44.02,33.85,30.92,35.78,35.01,41.38,42.51,41.78,42.51,40.89,38.46,53.06,41.67
BRK,68.23,47.94,37.09,37.82,31.87,37.58,37.96,47.47,33.73,44.88,43.36,34.69,28.57,30.56
CHI,66.81,46.6,35.85,32.08,35.23,35.42,36.84,40.15,37.68,45.09,40,38.71,44.9,36.96
CHO,65.61,48.07,35.5,32.48,33.46,44.1,41.71,40.38,44.97,44.76,48.85,39.83,50,36.17
CLE,63.39,44.36,36.91,33.79,33.76,41.78,37.04,41.92,45.95,34.11,40.57,42.2,53.12,38.46
DAL,64.58,45.02,35.45,34.5,36.71,36.66,41.83,42.25,40.61,45.1,38.1,46.32,47.17,35.09
DEN,67.78,44.65,35.62,34.07,35.75,40.19,39.5,42.02,44.26,40.18,35.2,43.68,36.92,38
DET,64.51,46.21,36.54,37.63,36.4,37.95,35.47,43,37.72,48.6,44.79,41.4,34.48,48.15
GSW,68.29,44.88,35.29,36.19,35.59,37.31,43.07,48.22,47.69,39.42,45.39,43.4,44.62,42.86
HOU,66.46,42.34,33.46,36.32,37.03,35.24,38.94,45.11,38.08,36.11,38.22,38.41,35.85,25.64
IND,66.09,46.51,34.51,35.21,33.85,37.73,39.32,46.56,42.43,39.27,36.57,43.06,44.93,52.83
LAC,69.33,43.89,34.77,37.38,33.07,36.67,37.43,37.79,41.67,43.51,34.71,44.81,37.84,30.3
LAL,68.33,45.02,35.48,33.42,35.91,38.29,37.35,35.95,40.96,41.92,43.05,32.62,44.44,33.33
MEM,67.17,41.02,34.93,33.96,37.07,38.39,37.4,42.61,38,49.76,37.71,40.1,39.53,43.48
MIA,68.02,46.56,38.08,33.66,35.71,36.07,40.91,43.55,37.6,38.19,42.34,39.29,48.21,24.56
MIL,67.09,44.65,33.61,33.94,34.98,42.93,38.9,42.3,43.53,46.86,36.41,38.54,41.82,42.59
MIN,64.72,42.93,34.32,35.55,34.99,37.73,36.99,45.95,43.01,43.48,44.94,37.79,42.22,57.5
NOP,67.6,48.86,36.01,36.78,34.16,40.09,38.8,44.65,46.11,45.45,40.5,35.96,37.5,36.17
NYK,65.93,46.17,35.54,36.43,34.49,37.78,41.48,42.86,37.8,39.41,44.63,33.33,43.48,26.32
OKC,62.35,45.4,32.33,32.41,34.26,37.03,36.48,43.81,35.06,32.64,33.95,52.98,35.19,42.22
ORL,67.24,42.49,37.16,34.84,34.16,39.51,40.57,39.06,40.73,44.59,44.14,40.69,38.78,41.07
PHI,68.41,42.91,39.98,39.29,36.13,37.41,36.12,44.09,39.53,43.09,42.31,41.53,40,28.12
PHO,69.2,45.68,36.82,37.68,32.71,41.58,43.04,45.71,41.81,41.63,42.68,44.67,40.54,40.91
POR,66.24,42.15,35.91,35.42,35.3,38.32,37.43,40.84,43.15,44.54,47.67,50.9,46.27,41.03
SAC,68.13,49.32,38.14,40.21,37.31,39.12,37.59,44.41,47.91,36.13,36.03,39.6,42.86,49.02
SAS,65.22,45.13,37.82,36.32,34.32,36.99,39.69,42.26,52.9,40.1,41.51,43.35,48.08,34.15
TOR,67.37,44.28,32.52,33.33,36.61,39.04,36.34,44.52,36.05,32.45,44.8,42.57,41.3,38.89
UTA,70.11,49.26,33.48,34.19,37.77,41.75,36.86,50,49.22,49.5,44.93,44.14,50,51.52
WAS,70.95,43.75,35.73,33.29,36.86,39.63,41.12,36.93,35.61,46.88,36.81,49.69,38,28.89
